证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额,结算价
M0,豆粕主力连续,2022-01-04,"3,220.0000","3,263.0000","3,218.0000","3,250.0000",3.0000,0.0924,"625,772","20,320,786,990","3,247.0000"
M0,豆粕主力连续,2022-01-05,"3,242.0000","3,298.0000","3,238.0000","3,293.0000",46.0000,1.4167,"787,718","25,793,324,280","3,274.0000"
M0,豆粕主力连续,2022-01-06,"3,283.0000","3,285.0000","3,212.0000","3,215.0000",-59.0000,-1.8021,"1,031,941","33,510,139,420","3,247.0000"
M0,豆粕主力连续,2022-01-07,"3,225.0000","3,245.0000","3,215.0000","3,225.0000",-22.0000,-0.6775,"697,417","22,525,669,670","3,229.0000"
M0,豆粕主力连续,2022-01-10,"3,230.0000","3,283.0000","3,206.0000","3,231.0000",2.0000,0.0619,"1,035,124","33,562,896,760","3,242.0000"
M0,豆粕主力连续,2022-01-11,"3,241.0000","3,260.0000","3,221.0000","3,229.0000",-13.0000,-0.4010,"715,204","23,168,419,960","3,239.0000"
M0,豆粕主力连续,2022-01-12,"3,229.0000","3,259.0000","3,198.0000","3,247.0000",8.0000,0.2470,"895,344","28,905,146,510","3,228.0000"
M0,豆粕主力连续,2022-01-13,"3,233.0000","3,259.0000","3,210.0000","3,243.0000",15.0000,0.4647,"947,940","30,637,294,190","3,231.0000"
M0,豆粕主力连续,2022-01-14,"3,230.0000","3,232.0000","3,178.0000","3,186.0000",-45.0000,-1.3928,"906,804","29,035,657,310","3,201.0000"
M0,豆粕主力连续,2022-01-17,"3,195.0000","3,205.0000","3,144.0000","3,170.0000",-31.0000,-0.9684,"966,711","30,677,648,330","3,173.0000"
M0,豆粕主力连续,2022-01-18,"3,174.0000","3,176.0000","3,144.0000","3,156.0000",-17.0000,-0.5358,"639,618","20,221,168,540","3,161.0000"
M0,豆粕主力连续,2022-01-19,"3,143.0000","3,183.0000","3,121.0000","3,177.0000",16.0000,0.5062,"856,746","27,016,694,360","3,153.0000"
M0,豆粕主力连续,2022-01-20,"3,184.0000","3,247.0000","3,175.0000","3,243.0000",90.0000,2.8544,"1,007,446","32,457,304,910","3,221.0000"
M0,豆粕主力连续,2022-01-21,"3,239.0000","3,281.0000","3,228.0000","3,270.0000",49.0000,1.5213,"941,279","30,662,234,320","3,257.0000"
